Index,Result
Sat Sep 01 2018 09:00:00 GMT+0100 (British Summer Time),0
Sat Sep 01 2018 10:00:00 GMT+0100 (British Summer Time),0
Sat Sep 01 2018 11:00:00 GMT+0100 (British Summer Time),0
Sat Sep 01 2018 12:00:00 GMT+0100 (British Summer Time),0
Sat Sep 01 2018 13:00:00 GMT+0100 (British Summer Time),0
Sat Sep 01 2018 14:00:00 GMT+0100 (British Summer Time),0
Sat Sep 01 2018 15:00:00 GMT+0100 (British Summer Time),0
Sat Sep 01 2018 16:00:00 GMT+0100 (British Summer Time),0
Sat Sep 01 2018 17:00:00 GMT+0100 (British Summer Time),0
Sat Sep 01 2018 18:00:00 GMT+0100 (British Summer Time),1
Sat Sep 01 2018 19:00:00 GMT+0100 (British Summer Time),0
Sat Sep 01 2018 20:00:00 GMT+0100 (British Summer Time),0
Sat Sep 01 2018 21:00:00 GMT+0100 (British Summer Time),0
Sat Sep 01 2018 22:00:00 GMT+0100 (British Summer Time),2
Sat Sep 01 2018 23:00:00 GMT+0100 (British Summer Time),0
Sun Sep 02 2018 00:00:00 GMT+0100 (British Summer Time),0
Sun Sep 02 2018 01:00:00 GMT+0100 (British Summer Time),0
Sun Sep 02 2018 02:00:00 GMT+0100 (British Summer Time),2
Sun Sep 02 2018 03:00:00 GMT+0100 (British Summer Time),0
Sun Sep 02 2018 04:00:00 GMT+0100 (British Summer Time),0
Sun Sep 02 2018 05:00:00 GMT+0100 (British Summer Time),0
Sun Sep 02 2018 06:00:00 GMT+0100 (British Summer Time),0
Sun Sep 02 2018 07:00:00 GMT+0100 (British Summer Time),0
Sun Sep 02 2018 08:00:00 GMT+0100 (British Summer Time),0
Sun Sep 02 2018 09:00:00 GMT+0100 (British Summer Time),0
Sun Sep 02 2018 10:00:00 GMT+0100 (British Summer Time),0
Sun Sep 02 2018 11:00:00 GMT+0100 (British Summer Time),0
Sun Sep 02 2018 12:00:00 GMT+0100 (British Summer Time),0
Sun Sep 02 2018 13:00:00 GMT+0100 (British Summer Time),0
Sun Sep 02 2018 14:00:00 GMT+0100 (British Summer Time),0
Sun Sep 02 2018 15:00:00 GMT+0100 (British Summer Time),0
Sun Sep 02 2018 16:00:00 GMT+0100 (British Summer Time),0
Sun Sep 02 2018 17:00:00 GMT+0100 (British Summer Time),4
Sun Sep 02 2018 18:00:00 GMT+0100 (British Summer Time),0
Sun Sep 02 2018 19:00:00 GMT+0100 (British Summer Time),0
Sun Sep 02 2018 20:00:00 GMT+0100 (British Summer Time),2
Sun Sep 02 2018 21:00:00 GMT+0100 (British Summer Time),0
Sun Sep 02 2018 22:00:00 GMT+0100 (British Summer Time),1
Sun Sep 02 2018 23:00:00 GMT+0100 (British Summer Time),2
Mon Sep 03 2018 00:00:00 GMT+0100 (British Summer Time),0
Mon Sep 03 2018 01:00:00 GMT+0100 (British Summer Time),0
Mon Sep 03 2018 02:00:00 GMT+0100 (British Summer Time),0
Mon Sep 03 2018 03:00:00 GMT+0100 (British Summer Time),1
Mon Sep 03 2018 04:00:00 GMT+0100 (British Summer Time),0
Mon Sep 03 2018 05:00:00 GMT+0100 (British Summer Time),0
Mon Sep 03 2018 06:00:00 GMT+0100 (British Summer Time),0
Mon Sep 03 2018 07:00:00 GMT+0100 (British Summer Time),0
Mon Sep 03 2018 08:00:00 GMT+0100 (British Summer Time),0
Mon Sep 03 2018 09:00:00 GMT+0100 (British Summer Time),0
Mon Sep 03 2018 10:00:00 GMT+0100 (British Summer Time),0
Mon Sep 03 2018 11:00:00 GMT+0100 (British Summer Time),0
Mon Sep 03 2018 12:00:00 GMT+0100 (British Summer Time),0
Mon Sep 03 2018 13:00:00 GMT+0100 (British Summer Time),0
Mon Sep 03 2018 14:00:00 GMT+0100 (British Summer Time),0
Mon Sep 03 2018 15:00:00 GMT+0100 (British Summer Time),0
Mon Sep 03 2018 16:00:00 GMT+0100 (British Summer Time),1
Mon Sep 03 2018 17:00:00 GMT+0100 (British Summer Time),4
Mon Sep 03 2018 18:00:00 GMT+0100 (British Summer Time),3
Mon Sep 03 2018 19:00:00 GMT+0100 (British Summer Time),1
Mon Sep 03 2018 20:00:00 GMT+0100 (British Summer Time),2
Mon Sep 03 2018 21:00:00 GMT+0100 (British Summer Time),1
Mon Sep 03 2018 22:00:00 GMT+0100 (British Summer Time),2
Mon Sep 03 2018 23:00:00 GMT+0100 (British Summer Time),0
Tue Sep 04 2018 00:00:00 GMT+0100 (British Summer Time),0
Tue Sep 04 2018 01:00:00 GMT+0100 (British Summer Time),2
Tue Sep 04 2018 02:00:00 GMT+0100 (British Summer Time),0
Tue Sep 04 2018 03:00:00 GMT+0100 (British Summer Time),0
Tue Sep 04 2018 04:00:00 GMT+0100 (British Summer Time),0
Tue Sep 04 2018 05:00:00 GMT+0100 (British Summer Time),0
Tue Sep 04 2018 06:00:00 GMT+0100 (British Summer Time),0
Tue Sep 04 2018 07:00:00 GMT+0100 (British Summer Time),0
Tue Sep 04 2018 08:00:00 GMT+0100 (British Summer Time),0
Tue Sep 04 2018 09:00:00 GMT+0100 (British Summer Time),0
Tue Sep 04 2018 10:00:00 GMT+0100 (British Summer Time),0
Tue Sep 04 2018 11:00:00 GMT+0100 (British Summer Time),1
Tue Sep 04 2018 12:00:00 GMT+0100 (British Summer Time),2
Tue Sep 04 2018 13:00:00 GMT+0100 (British Summer Time),1
Tue Sep 04 2018 14:00:00 GMT+0100 (British Summer Time),8
Tue Sep 04 2018 15:00:00 GMT+0100 (British Summer Time),82
Tue Sep 04 2018 16:00:00 GMT+0100 (British Summer Time),98
Tue Sep 04 2018 17:00:00 GMT+0100 (British Summer Time),6
Tue Sep 04 2018 18:00:00 GMT+0100 (British Summer Time),8
Tue Sep 04 2018 19:00:00 GMT+0100 (British Summer Time),8
Tue Sep 04 2018 20:00:00 GMT+0100 (British Summer Time),4
Tue Sep 04 2018 21:00:00 GMT+0100 (British Summer Time),6
Tue Sep 04 2018 22:00:00 GMT+0100 (British Summer Time),44
Tue Sep 04 2018 23:00:00 GMT+0100 (British Summer Time),52
Wed Sep 05 2018 00:00:00 GMT+0100 (British Summer Time),33
Wed Sep 05 2018 01:00:00 GMT+0100 (British Summer Time),20
Wed Sep 05 2018 02:00:00 GMT+0100 (British Summer Time),0
Wed Sep 05 2018 03:00:00 GMT+0100 (British Summer Time),1
Wed Sep 05 2018 04:00:00 GMT+0100 (British Summer Time),0
Wed Sep 05 2018 05:00:00 GMT+0100 (British Summer Time),0
Wed Sep 05 2018 06:00:00 GMT+0100 (British Summer Time),0
Wed Sep 05 2018 07:00:00 GMT+0100 (British Summer Time),0
Wed Sep 05 2018 08:00:00 GMT+0100 (British Summer Time),0
Wed Sep 05 2018 09:00:00 GMT+0100 (British Summer Time),0
Wed Sep 05 2018 10:00:00 GMT+0100 (British Summer Time),0
Wed Sep 05 2018 11:00:00 GMT+0100 (British Summer Time),0
Wed Sep 05 2018 12:00:00 GMT+0100 (British Summer Time),2
Wed Sep 05 2018 13:00:00 GMT+0100 (British Summer Time),2
Wed Sep 05 2018 14:00:00 GMT+0100 (British Summer Time),8
Wed Sep 05 2018 15:00:00 GMT+0100 (British Summer Time),85
Wed Sep 05 2018 16:00:00 GMT+0100 (British Summer Time),80
Wed Sep 05 2018 17:00:00 GMT+0100 (British Summer Time),3
Wed Sep 05 2018 18:00:00 GMT+0100 (British Summer Time),7
Wed Sep 05 2018 19:00:00 GMT+0100 (British Summer Time),5
Wed Sep 05 2018 20:00:00 GMT+0100 (British Summer Time),8
Wed Sep 05 2018 21:00:00 GMT+0100 (British Summer Time),32
Wed Sep 05 2018 22:00:00 GMT+0100 (British Summer Time),49
Wed Sep 05 2018 23:00:00 GMT+0100 (British Summer Time),24
Thu Sep 06 2018 00:00:00 GMT+0100 (British Summer Time),17
Thu Sep 06 2018 01:00:00 GMT+0100 (British Summer Time),14
Thu Sep 06 2018 02:00:00 GMT+0100 (British Summer Time),2
Thu Sep 06 2018 03:00:00 GMT+0100 (British Summer Time),0
Thu Sep 06 2018 04:00:00 GMT+0100 (British Summer Time),0
Thu Sep 06 2018 05:00:00 GMT+0100 (British Summer Time),0
Thu Sep 06 2018 06:00:00 GMT+0100 (British Summer Time),0
Thu Sep 06 2018 07:00:00 GMT+0100 (British Summer Time),0
Thu Sep 06 2018 08:00:00 GMT+0100 (British Summer Time),0
Thu Sep 06 2018 09:00:00 GMT+0100 (British Summer Time),0
Thu Sep 06 2018 10:00:00 GMT+0100 (British Summer Time),0
Thu Sep 06 2018 11:00:00 GMT+0100 (British Summer Time),0
Thu Sep 06 2018 12:00:00 GMT+0100 (British Summer Time),1
Thu Sep 06 2018 13:00:00 GMT+0100 (British Summer Time),1
Thu Sep 06 2018 14:00:00 GMT+0100 (British Summer Time),5
Thu Sep 06 2018 15:00:00 GMT+0100 (British Summer Time),76
Thu Sep 06 2018 16:00:00 GMT+0100 (British Summer Time),88
Thu Sep 06 2018 17:00:00 GMT+0100 (British Summer Time),16
Thu Sep 06 2018 18:00:00 GMT+0100 (British Summer Time),7
Thu Sep 06 2018 19:00:00 GMT+0100 (British Summer Time),4
Thu Sep 06 2018 20:00:00 GMT+0100 (British Summer Time),1
Thu Sep 06 2018 21:00:00 GMT+0100 (British Summer Time),4
Thu Sep 06 2018 22:00:00 GMT+0100 (British Summer Time),39
Thu Sep 06 2018 23:00:00 GMT+0100 (British Summer Time),56
Fri Sep 07 2018 00:00:00 GMT+0100 (British Summer Time),37
Fri Sep 07 2018 01:00:00 GMT+0100 (British Summer Time),18
Fri Sep 07 2018 02:00:00 GMT+0100 (British Summer Time),2
Fri Sep 07 2018 03:00:00 GMT+0100 (British Summer Time),0
Fri Sep 07 2018 04:00:00 GMT+0100 (British Summer Time),0
Fri Sep 07 2018 05:00:00 GMT+0100 (British Summer Time),2
Fri Sep 07 2018 06:00:00 GMT+0100 (British Summer Time),0
Fri Sep 07 2018 07:00:00 GMT+0100 (British Summer Time),0
Fri Sep 07 2018 08:00:00 GMT+0100 (British Summer Time),0
Fri Sep 07 2018 09:00:00 GMT+0100 (British Summer Time),0
Fri Sep 07 2018 10:00:00 GMT+0100 (British Summer Time),0
Fri Sep 07 2018 11:00:00 GMT+0100 (British Summer Time),0
Fri Sep 07 2018 12:00:00 GMT+0100 (British Summer Time),1
Fri Sep 07 2018 13:00:00 GMT+0100 (British Summer Time),1
Fri Sep 07 2018 14:00:00 GMT+0100 (British Summer Time),6
Fri Sep 07 2018 15:00:00 GMT+0100 (British Summer Time),57
Fri Sep 07 2018 16:00:00 GMT+0100 (British Summer Time),77
Fri Sep 07 2018 17:00:00 GMT+0100 (British Summer Time),6
Fri Sep 07 2018 18:00:00 GMT+0100 (British Summer Time),10
Fri Sep 07 2018 19:00:00 GMT+0100 (British Summer Time),23
Fri Sep 07 2018 20:00:00 GMT+0100 (British Summer Time),9
Fri Sep 07 2018 21:00:00 GMT+0100 (British Summer Time),8
Fri Sep 07 2018 22:00:00 GMT+0100 (British Summer Time),28
Fri Sep 07 2018 23:00:00 GMT+0100 (British Summer Time),67
Sat Sep 08 2018 00:00:00 GMT+0100 (British Summer Time),17
Sat Sep 08 2018 01:00:00 GMT+0100 (British Summer Time),38
Sat Sep 08 2018 02:00:00 GMT+0100 (British Summer Time),24
Sat Sep 08 2018 03:00:00 GMT+0100 (British Summer Time),14
Sat Sep 08 2018 04:00:00 GMT+0100 (British Summer Time),12
Sat Sep 08 2018 05:00:00 GMT+0100 (British Summer Time),0
Sat Sep 08 2018 06:00:00 GMT+0100 (British Summer Time),0
Sat Sep 08 2018 07:00:00 GMT+0100 (British Summer Time),0
Sat Sep 08 2018 08:00:00 GMT+0100 (British Summer Time),0
Sat Sep 08 2018 09:00:00 GMT+0100 (British Summer Time),0
Sat Sep 08 2018 10:00:00 GMT+0100 (British Summer Time),0
Sat Sep 08 2018 11:00:00 GMT+0100 (British Summer Time),0
Sat Sep 08 2018 12:00:00 GMT+0100 (British Summer Time),0
Sat Sep 08 2018 13:00:00 GMT+0100 (British Summer Time),0
Sat Sep 08 2018 14:00:00 GMT+0100 (British Summer Time),2
Sat Sep 08 2018 15:00:00 GMT+0100 (British Summer Time),2
Sat Sep 08 2018 16:00:00 GMT+0100 (British Summer Time),0
Sat Sep 08 2018 17:00:00 GMT+0100 (British Summer Time),1
Sat Sep 08 2018 18:00:00 GMT+0100 (British Summer Time),3
Sat Sep 08 2018 19:00:00 GMT+0100 (British Summer Time),0
Sat Sep 08 2018 20:00:00 GMT+0100 (British Summer Time),0
Sat Sep 08 2018 21:00:00 GMT+0100 (British Summer Time),1
Sat Sep 08 2018 22:00:00 GMT+0100 (British Summer Time),0
Sat Sep 08 2018 23:00:00 GMT+0100 (British Summer Time),2
Sun Sep 09 2018 00:00:00 GMT+0100 (British Summer Time),0
Sun Sep 09 2018 01:00:00 GMT+0100 (British Summer Time),0
Sun Sep 09 2018 02:00:00 GMT+0100 (British Summer Time),0
Sun Sep 09 2018 03:00:00 GMT+0100 (British Summer Time),0
Sun Sep 09 2018 04:00:00 GMT+0100 (British Summer Time),0
Sun Sep 09 2018 05:00:00 GMT+0100 (British Summer Time),0
Sun Sep 09 2018 06:00:00 GMT+0100 (British Summer Time),0
Sun Sep 09 2018 07:00:00 GMT+0100 (British Summer Time),0
Sun Sep 09 2018 08:00:00 GMT+0100 (British Summer Time),0
Sun Sep 09 2018 09:00:00 GMT+0100 (British Summer Time),0
Sun Sep 09 2018 10:00:00 GMT+0100 (British Summer Time),0
Sun Sep 09 2018 11:00:00 GMT+0100 (British Summer Time),0
Sun Sep 09 2018 12:00:00 GMT+0100 (British Summer Time),0
Sun Sep 09 2018 13:00:00 GMT+0100 (British Summer Time),0
Sun Sep 09 2018 14:00:00 GMT+0100 (British Summer Time),0
Sun Sep 09 2018 15:00:00 GMT+0100 (British Summer Time),0
Sun Sep 09 2018 16:00:00 GMT+0100 (British Summer Time),0
Sun Sep 09 2018 17:00:00 GMT+0100 (British Summer Time),0
Sun Sep 09 2018 18:00:00 GMT+0100 (British Summer Time),1
Sun Sep 09 2018 19:00:00 GMT+0100 (British Summer Time),0
Sun Sep 09 2018 20:00:00 GMT+0100 (British Summer Time),1
Sun Sep 09 2018 21:00:00 GMT+0100 (British Summer Time),1
Sun Sep 09 2018 22:00:00 GMT+0100 (British Summer Time),2
Sun Sep 09 2018 23:00:00 GMT+0100 (British Summer Time),5
Mon Sep 10 2018 00:00:00 GMT+0100 (British Summer Time),0
Mon Sep 10 2018 01:00:00 GMT+0100 (British Summer Time),0
Mon Sep 10 2018 02:00:00 GMT+0100 (British Summer Time),0
Mon Sep 10 2018 03:00:00 GMT+0100 (British Summer Time),1
Mon Sep 10 2018 04:00:00 GMT+0100 (British Summer Time),0
Mon Sep 10 2018 05:00:00 GMT+0100 (British Summer Time),0
Mon Sep 10 2018 06:00:00 GMT+0100 (British Summer Time),0
Mon Sep 10 2018 07:00:00 GMT+0100 (British Summer Time),0
Mon Sep 10 2018 08:00:00 GMT+0100 (British Summer Time),0
Mon Sep 10 2018 09:00:00 GMT+0100 (British Summer Time),0
Mon Sep 10 2018 10:00:00 GMT+0100 (British Summer Time),0
Mon Sep 10 2018 11:00:00 GMT+0100 (British Summer Time),0
Mon Sep 10 2018 12:00:00 GMT+0100 (British Summer Time),2
Mon Sep 10 2018 13:00:00 GMT+0100 (British Summer Time),0
Mon Sep 10 2018 14:00:00 GMT+0100 (British Summer Time),8
Mon Sep 10 2018 15:00:00 GMT+0100 (British Summer Time),91
Mon Sep 10 2018 16:00:00 GMT+0100 (British Summer Time),93
Mon Sep 10 2018 17:00:00 GMT+0100 (British Summer Time),10
Mon Sep 10 2018 18:00:00 GMT+0100 (British Summer Time),9
Mon Sep 10 2018 19:00:00 GMT+0100 (British Summer Time),8
Mon Sep 10 2018 20:00:00 GMT+0100 (British Summer Time),8
Mon Sep 10 2018 21:00:00 GMT+0100 (British Summer Time),15
Mon Sep 10 2018 22:00:00 GMT+0100 (British Summer Time),33
Mon Sep 10 2018 23:00:00 GMT+0100 (British Summer Time),55
Tue Sep 11 2018 00:00:00 GMT+0100 (British Summer Time),28
Tue Sep 11 2018 01:00:00 GMT+0100 (British Summer Time),14
Tue Sep 11 2018 02:00:00 GMT+0100 (British Summer Time),3
Tue Sep 11 2018 03:00:00 GMT+0100 (British Summer Time),0
Tue Sep 11 2018 04:00:00 GMT+0100 (British Summer Time),0
Tue Sep 11 2018 05:00:00 GMT+0100 (British Summer Time),0
Tue Sep 11 2018 06:00:00 GMT+0100 (British Summer Time),0
Tue Sep 11 2018 07:00:00 GMT+0100 (British Summer Time),0
Tue Sep 11 2018 08:00:00 GMT+0100 (British Summer Time),0
Tue Sep 11 2018 09:00:00 GMT+0100 (British Summer Time),0
Tue Sep 11 2018 10:00:00 GMT+0100 (British Summer Time),0
Tue Sep 11 2018 11:00:00 GMT+0100 (British Summer Time),0
Tue Sep 11 2018 12:00:00 GMT+0100 (British Summer Time),1
Tue Sep 11 2018 13:00:00 GMT+0100 (British Summer Time),2
Tue Sep 11 2018 14:00:00 GMT+0100 (British Summer Time),12
Tue Sep 11 2018 15:00:00 GMT+0100 (British Summer Time),93
Tue Sep 11 2018 16:00:00 GMT+0100 (British Summer Time),73
Tue Sep 11 2018 17:00:00 GMT+0100 (British Summer Time),12
Tue Sep 11 2018 18:00:00 GMT+0100 (British Summer Time),14
Tue Sep 11 2018 19:00:00 GMT+0100 (British Summer Time),10
Tue Sep 11 2018 20:00:00 GMT+0100 (British Summer Time),4
Tue Sep 11 2018 21:00:00 GMT+0100 (British Summer Time),8
Tue Sep 11 2018 22:00:00 GMT+0100 (British Summer Time),38
Tue Sep 11 2018 23:00:00 GMT+0100 (British Summer Time),63
Wed Sep 12 2018 00:00:00 GMT+0100 (British Summer Time),37
Wed Sep 12 2018 01:00:00 GMT+0100 (British Summer Time),14
Wed Sep 12 2018 02:00:00 GMT+0100 (British Summer Time),0
Wed Sep 12 2018 03:00:00 GMT+0100 (British Summer Time),0
Wed Sep 12 2018 04:00:00 GMT+0100 (British Summer Time),0
Wed Sep 12 2018 05:00:00 GMT+0100 (British Summer Time),0
Wed Sep 12 2018 06:00:00 GMT+0100 (British Summer Time),0
Wed Sep 12 2018 07:00:00 GMT+0100 (British Summer Time),0
Wed Sep 12 2018 08:00:00 GMT+0100 (British Summer Time),0
Wed Sep 12 2018 09:00:00 GMT+0100 (British Summer Time),0
Wed Sep 12 2018 10:00:00 GMT+0100 (British Summer Time),0
Wed Sep 12 2018 11:00:00 GMT+0100 (British Summer Time),0
Wed Sep 12 2018 12:00:00 GMT+0100 (British Summer Time),1
Wed Sep 12 2018 13:00:00 GMT+0100 (British Summer Time),2
Wed Sep 12 2018 14:00:00 GMT+0100 (British Summer Time),12
Wed Sep 12 2018 15:00:00 GMT+0100 (British Summer Time),83
Wed Sep 12 2018 16:00:00 GMT+0100 (British Summer Time),61
Wed Sep 12 2018 17:00:00 GMT+0100 (British Summer Time),11
